lon,lat,ibge
-3.998086,-38.619922,-1.0
-4.040819,-38.636383,-1.0
-4.041192,-38.6367,-1.0
-4.371724,-38.810085,-1.0
-4.464188,-38.895695,-1.0
-4.158475,-40.145421,-1.0
-4.72351,-40.310088,-1.0
-4.833084,-40.321325,-1.0
-4.100237,-40.469193,-1.0
-4.195781,-40.473821,-1.0
-4.329341,-40.712122,-1.0
-4.399305,-40.713194,-1.0
-4.542088,-40.71938,-1.0
-4.542747,-40.717982,-1.0
-4.706626,-40.560211,-1.0
-4.768552,-40.538201,-1.0
-4.930618,-40.526124,-1.0
-4.552404,-40.727323,-1.0
-3.840672,-40.645718,-1.0
-3.847799,-40.656411,-1.0
-4.467975,-38.900136,-1.0
-4.418883,-39.046247,-1.0
-4.329612,-40.179488,-1.0
-4.407052,-40.403375,-1.0
-4.407584,-40.404643,-1.0
-4.570564,-40.817901,-1.0
-4.414112,-40.907492,-1.0
-4.570471,-40.817928,-1.0
-4.788724,-40.06135,-1.0
-4.705742,-40.566836,-1.0
-4.752653,-40.833245,-1.0
-4.74326,-40.925559,-1.0
-4.568113,-41.219639,-1.0
-3.796674,-40.601206,-1.0
-3.975267,-40.70547,-1.0
-4.046471,-40.753301,-1.0
-4.143032,-40.582386,-1.0
-4.184039,-40.512083,-1.0
-4.255244,-40.613139,-1.0
-4.325258,-40.708553,-1.0
-4.193096,-40.479091,-1.0
-4.241246,-40.347962,-1.0
-4.331787,-40.156056,-1.0
-3.980188,-40.698268,-1.0
-4.097662,-40.43383,-1.0
-4.769758,-40.510218,-1.0
-4.272538,-40.556124,-1.0
-4.245675,-40.640233,-1.0
-6.790589,-39.298726,-1.0
-7.186424,-39.736872,-1.0
-7.246355,-39.76033,-1.0
-3.905058,-40.37807,-1.0
-3.915064,-40.383807,-1.0
-4.072271,-40.315054,-1.0
-3.733669,-40.481673,-1.0
-3.563281,-41.092809,-1.0
-3.72007,-41.084158,-1.0
-3.731028,-40.992263,-1.0
-3.853434,-40.921156,-1.0
-3.922703,-40.889298,-1.0
-4.163336,-40.750354,-1.0
-3.695515,-40.381629,-1.0
-3.696077,-40.382609,-1.0
-3.741716,-40.496909,-1.0
-3.916499,-41.228024,-1.0
-3.525233,-40.340977,-1.0
-3.563787,-41.093131,-1.0
-3.562165,-41.366245,-1.0
