lon,lat,ibge,v
-7.075,-40.372393,-1,231748
-7.078338,-40.377964,-1,225565
-7.07844,-40.458293,-1,232097
-6.252681,-39.201525,-1,238389
-3.929475,-38.337078,-1,242066
-3.7468,-38.480064,-1,242157
-3.746925,-38.479871,-1,242359
-3.838809,-38.479857,-1,36853
-3.861158,-38.470293,-1,243556
-3.891034,-38.43546,-1,71004
-3.898453,-38.402868,-1,36850
-6.88675,-39.221473,-1,250717
-3.790834,-38.588636,-1,41323
-3.791256,-38.588814,-1,252640
-4.103195,-38.157687,-1,253879
-5.69486,-38.495826,-1,256220
-5.524245,-38.475095,-1,257864
-3.217309,-39.360085,-1,69404
-4.182084,-38.080497,-1,261882
-4.267762,-38.055502,-1,261884
-4.253189,-38.010083,-1,262397
-3.655351,-39.427021,-1,262399
-3.625916,-39.507533,-1,263060
-3.684338,-39.585003,-1,264174
-4.844501,-38.042335,-1,265102
-5.269836,-38.108415,-1,267065
-5.261001,-38.123113,-1,267066
-5.300179,-38.173976,-1,267522
-5.723956,-38.159753,-1,268986
-3.972206,-38.528679,-1,269710
-3.36636,-39.83208,-1,269826
-3.369233,-39.819403,-1,269916
-3.597699,-39.437124,-1,272221
-3.599151,-39.437125,-1,272233
-3.791358,-39.271298,-1,274430
-4.225966,-38.704659,-1,274552
-4.28693,-38.640427,-1,275327
-4.29934,-38.501779,-1,276176
-4.380153,-38.828595,-1,276548
-4.916138,-37.997975,-1,280526
-4.928586,-37.974983,-1,280701
-5.061498,-38.064368,-1,281257
-5.243251,-38.133516,-1,281882
-5.245727,-38.131049,-1,281910
-4.748198,-37.962689,-1,284205
-4.771431,-38.051014,-1,284746
-5.052488,-37.677768,-1,285326
-5.269258,-38.271713,-1,287661
-3.364277,-39.826921,-1,287720
-3.538495,-40.457903,-1,287760
-5.074472,-37.99154,-1,288112
-5.127103,-39.737482,-1,289969
-5.127046,-39.737446,-1,289970
-5.122177,-39.733488,-1,290009
-4.855114,-39.573515,-1,291350
-4.851293,-39.571316,-1,291376
-4.761853,-39.485,-1,291904
-4.581865,-39.358894,-1,292990
-3.998086,-38.619922,-1,294283
-4.040819,-38.636383,-1,294639
-4.041192,-38.6367,-1,294642
-4.371724,-38.810085,-1,296844
-4.464188,-38.895695,-1,297979
-4.158475,-40.145421,-1,300046
-4.72351,-40.310088,-1,301429
-4.833084,-40.321325,-1,301991
-4.100237,-40.469193,-1,302261
-4.195781,-40.473821,-1,302698
-4.329341,-40.712122,-1,303889
-4.399305,-40.713194,-1,304266
-4.542088,-40.71938,-1,304935
-4.542747,-40.717982,-1,304952
-4.706626,-40.560211,-1,306191
-4.768552,-40.538201,-1,306568
-4.930618,-40.526124,-1,307269
-4.552404,-40.727323,-1,308532
-3.840672,-40.645718,-1,312788
-3.847799,-40.656411,-1,312842
-4.467975,-38.900136,-1,313431
-4.418883,-39.046247,-1,314985
